PLANT,ID,TREAT,TREAT 2,REP,10,20,30,40,50,60
1,#1,Agro,Agro,1,15,13,11,9,8,7
2,#2,Agro,Agro,2,19,13,12,11,9,9
3,#3,Agro,Agro,3,20,15,12,9,5,5
4,#5,Agro,Agro,4,19,18,17,14,13,12
5,#6,Agro,Agro,5,21,16,15,15,11,11
6,#4,Agro,Agro,6,18,13,9,9,7,7
7,#9,Agro,Agro,7,16,16,12,12,11,11
8,#13,Agro,Agro,8,20,16,16,15,15,15
9,#12,Agro,Agro,9,20,16,16,11,11,10
10,#11,Agro,Agro,10,22,20,20,18,18,16
11,#8,Agro,Agro,11,23,22,17,17,13,13
12,#14,Agro,Agro,12,20,19,18,16,16,14
13,#10,Agro,Agro,13,16,11,10,9,8,8
14,#26,Agro,Agro,1,20,18,18,17,15,15
15,#27,Agro,Agro,2,18,12,11,9,9,9
16,#28,Agro,Agro,3,20,17,15,12,9,9
17,#49,control,control,1,20,18,18,16,16,13
18,#50,control,control,2,21,19,16,14,12,11
19,#51,control,control,3,21,20,18,17,17,17
20,#52,control,control,4,20,19,18,17,17,15
21,#53,control,control,5,21,17,16,15,14,14
22,#47,control,control,1,22,18,17,14,11,10
23,#48,control,control,2,25,23,22,22,20,20
24,#49,control,control,3,18,12,10,9,8,8
25,#50,control,control,4,23,21,18,18,17,16
26,#51,control,control,5,20,17,15,15,14,12
27,#52,control,control,6,24,19,17,15,14,14
28,#53,control,control,7,19,18,16,16,14,13
29,#36,_3648,_3648,1,25,20,19,18,18,18
30,#37,_3648,_3648,2,19,18,16,15,13,11
31,#38,_3648,_3648,3,23,19,17,17,15,15
32,#42,_3648,_3648,1,24,19,18,16,15,15
33,#39,_3648,_3648,2,22,20,19,18,18,18
34,#41,_3648,_3648,3,18,16,14,13,13,12
35,#40,_3648,_3648,4,21,16,12,12,10,10
36,#37,_3648,_3648,5,22,21,20,18,18,18
37,#38,_3648,_3648,6,25,21,17,14,14,14
38,#30,_3648,_3648,1,22,19,18,18,18,17
39,#25,_3648,_3648,2,19,17,16,16,14,11
40,#28,_3648,_3648,3,22,21,20,20,19,18
41,#26,_3648,_3648,4,22,20,19,16,15,15
42,#42,_3705,_3705,1,22,21,21,20,19,19
43,#41,_3705,_3705,2,21,17,15,14,12,10
44,#43,_3705,_3705,3,22,19,18,16,14,14
45,#33,_3705,_3705,1,25,22,18,18,16,16
46,#32,_3705,_3705,2,23,22,19,19,17,17
47,#36,_3705,_3705,3,18,14,12,10,9,7
48,#34,_3705,_3705,4,22,18,17,16,13,11
49,#35,_3705,_3705,5,24,21,20,19,19,19
50,#31,_3705,_3705,6,24,21,17,17,16,15
51,#14,_3705,_3705,1,20,18,15,10,11,9
52,#18,_3705,_3705,2,19,17,14,13,13,13
53,#13,_3705,_3705,3,21,12,10,9,7,7
54,#16,_3705,_3705,4,23,19,18,16,14,13
55,#17,_3705,_3705,5,22,21,16,15,13,13
56,#15,_3705,_3705,6,16,11,11,10,10,10
57,#20,_3861,_3861,1,24,23,22,22,21,21
58,#18,_3861,_3861,2,18,16,15,14,12,12
59,#17,_3861,_3861,3,22,20,19,18,18,15
60,#25,_3861,_3861,1,25,22,20,19,17,15
61,#21,_3861,_3861,2,23,21,19,18,18,18
62,#22,_3861,_3861,3,22,19,17,16,16,15
63,#13,_3861,_3861,1,25,22,18,17,16,13
64,#18,_3861,_3861,2,25,22,18,16,15,15
65,#17,_3861,_3861,3,19,18,15,13,11,11
66,#14,_3861,_3861,4,18,14,10,8,7,7
67,#15,_3861,_3861,5,24,23,21,21,21,19
68,#16,_3861,_3861,6,26,24,22,18,17,16
69,#3,_3879,_3879,1,23,22,21,21,20,20
70,#5,_3879,_3879,2,17,14,12,12,12,12
71,#1,_3879,_3879,3,25,24,23,23,23,23
72,#4,_3879,_3879,4,21,19,19,18,16,16
73,#7,_3879,_3879,5,25,21,15,13,12,12
74,#14,_3879,_3879,1,22,20,20,18,17,17
75,#13,_3879,_3879,2,18,14,12,10,10,10
76,#12,_3879,_3879,3,20,16,13,12,12,11
77,#1,__4050,__4050,1,21,19,18,17,13,13
78,#2,__4050,__4050,2,19,15,10,7,7,7
79,#3,__4050,__4050,3,21,18,16,16,16,16
80,#1,__4050,__4050,1,24,21,19,18,18,17
81,#5,__4050,__4050,2,22,21,18,16,16,16
82,#4,__4050,__4050,3,19,19,18,18,16,15
83,#6,__4050,__4050,4,17,15,13,12,10,8
84,#2,__4050,__4050,5,22,20,19,17,17,17
85,#3,__4050,__4050,6,22,19,19,18,18,18
86,#7,__4050,__4050,1,19,16,16,16,11,10
87,#10,__4050,__4050,2,19,16,13,13,11,10
88,#8,__4050,__4050,3,16,9,8,8,8,8
89,#11,__4050,__4050,4,19,14,13,13,12,12
90,#9,__4050,__4050,5,18,16,12,11,11,11
91,#12,__4050,__4050,6,16,14,14,13,9,8
92,#31,_4077,_4077,1,20,16,16,16,16,15
93,#32,_4077,_4077,2,20,18,14,13,13,13
94,#34,_4077,_4077,3,19,13,11,10,10,10
95,#7,_4077,_4077,1,25,23,21,20,18,17
96,#8,_4077,_4077,2,24,23,18,16,16,15
97,#9,_4077,_4077,3,25,22,19,17,16,16
98,#10,_4077,_4077,4,20,18,15,14,13,12
99,#11,_4077,_4077,5,21,19,17,16,16,16
100,#12,_4077,_4077,6,23,19,16,16,16,16
101,#26,PLRVwild,mgfp,1,19,12,12,10,7,7
102,#28,PLRVwild,mgfp,2,26,23,20,19,18,16
103,#25,PLRVwild,mgfp,3,21,18,17,15,15,15
104,#27,PLRVwild,mgfp,4,22,22,20,20,17,17
105,#29,PLRVwild,mgfp,5,23,20,19,18,16,16
106,#30,PLRVwild,mgfp,6,24,23,22,18,16,16
107,M7,paper,paper,7,11,11,9,9,7,6
108,M8,paper,paper,8,20,19,18,17,15,12
109,M9,paper,paper,9,16,14,14,13,13,11
110,M10,paper,paper,10,18,16,16,15,14,14
111,M1,paper,paper,1,16,13,13,12,11,11
112,M2,paper,paper,2,14,13,12,11,10,10
113,M3,paper,paper,3,12,9,8,6,6,5
114,M4,paper,paper,4,14,12,10,8,7,7
115,M5,paper,paper,5,14,9,7,7,7,5
116,M6,paper,paper,6,12,7,6,6,6,6
117,M1,paper,paper,1,15,6,4,3,2,1
118,M2,paper,paper,2,20,17,16,15,14,12
119,M3,paper,paper,3,18,16,13,10,9,8
120,M4,paper,paper,4,12,11,8,7,6,5
121,M5,paper,paper,5,8,5,3,3,3,2
122,M6,paper,paper,6,8,6,5,5,5,4
123,M7,paper,paper,7,16,12,11,10,8,7
124,M1,paper,paper,1,12,8,6,5,5,5
125,M2,paper,paper,2,10,7,7,5,5,4
126,M3,paper,paper,3,9,6,6,5,4,3
127,M4,paper,paper,4,11,6,6,5,5,5
128,M5,paper,paper,5,9,9,6,5,4,2
129,M6,paper,paper,6,6,4,4,3,3,3
130,#17,PLRVwild,pBNUP,1,18,16,16,16,13,13
131,#16,PLRVwild,pBNUP,2,16,10,9,9,9,8
132,#18,PLRVwild,pBNUP,3,19,16,13,10,9,9
133,##,PLRVwild,PLRVwild,1,17,15,15,14,13,11
134,#24,PLRVwild,PLRVwild,2,20,13,12,10,9,8
135,#22,PLRVwild,PLRVwild,3,18,15,15,13,10,8
136,#20,PLRVwild,PLRVwild,4,24,22,17,16,16,14
137,#21,PLRVwild,PLRVwild,5,12,8,8,7,5,5
138,#6,PLRVwild,PLRVwild,1,24,19,18,16,15,13
139,#9,PLRVwild,PLRVwild,2,19,17,14,14,11,11
140,#7,PLRVwild,PLRVwild,3,20,15,14,12,11,11
141,#19,PLRVwild,PLRVwild,1,18,14,13,10,9,8
142,#20,PLRVwild,PLRVwild,2,20,16,15,13,13,12
143,#24,PLRVwild,PLRVwild,3,16,12,11,9,9,7
144,#23,PLRVwild,PLRVwild,4,20,17,14,13,13,12
145,#22,PLRVwild,PLRVwild,5,22,16,15,15,13,13
146,#21,PLRVwild,PLRVwild,6,23,20,20,18,17,14